_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.win.eventdata.data,_source.data.win.eventdata.binary,_source.data.win.system.eventID,_source.data.win.system.eventSourceName,_source.data.win.system.keywords,_source.data.win.system.providerGuid,_source.data.win.system.level,_source.data.win.system.channel,_source.data.win.system.opcode,_source.data.win.system.message,_source.data.win.system.version,_source.data.win.system.systemTime,_source.data.win.system.eventRecordID,_source.data.win.system.threadID,_source.data.win.system.computer,_source.data.win.system.task,_source.data.win.system.processID,_source.data.win.system.severityValue,_source.data.win.system.providerName,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.description,_source.rule.groups,_source.rule.id,_source.decoder.name,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.win.eventdata.subjectLogonId,_source.data.win.eventdata.subjectDomainName,_source.data.win.eventdata.targetLinkedLogonId,_source.data.win.eventdata.impersonationLevel,_source.data.win.eventdata.ipAddress,_source.data.win.eventdata.authenticationPackageName,_source.data.win.eventdata.workstationName,_source.data.win.eventdata.targetLogonId,_source.data.win.eventdata.logonProcessName,_source.data.win.eventdata.logonGuid,_source.data.win.eventdata.targetUserName,_source.data.win.eventdata.keyLength,_source.data.win.eventdata.elevatedToken,_source.data.win.eventdata.subjectUserSid,_source.data.win.eventdata.processId,_source.data.win.eventdata.processName,_source.data.win.eventdata.ipPort,_source.data.win.eventdata.targetDomainName,_source.data.win.eventdata.targetUserSid,_source.data.win.eventdata.virtualAccount,_source.data.win.eventdata.logonType,_source.data.win.eventdata.subjectUserName,_source.rule.hipaa,_source.rule.pci_dss,_source.rule.tsc,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.gpg13,_source.data.win.eventdata.image,_source.data.win.eventdata.targetObject,_source.data.win.eventdata.processGuid,_source.data.win.eventdata.utcTime,_source.data.win.eventdata.details,_source.data.win.eventdata.eventType,_source.data.win.eventdata.user,_source.data.win.eventdata.originalFileName,_source.data.win.eventdata.product,_source.data.win.eventdata.parentProcessGuid,_source.data.win.eventdata.description,_source.data.win.eventdata.parentCommandLine,_source.data.win.eventdata.logonId,_source.data.win.eventdata.parentProcessId,_source.data.win.eventdata.currentDirectory,_source.data.win.eventdata.hashes,_source.data.win.eventdata.parentImage,_source.data.win.eventdata.ruleName,_source.data.win.eventdata.company,_source.data.win.eventdata.commandLine,_source.data.win.eventdata.integrityLevel,_source.data.win.eventdata.fileVersion,_source.data.win.eventdata.terminalSessionId,_source.data.win.eventdata.parentUser,_source.data.win.eventdata.extraInfo,_source.data.win.eventdata.signature,_source.data.win.eventdata.imageLoaded,_source.data.win.eventdata.signed,_source.data.win.eventdata.signatureStatus,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.scan_id,_source.data.sca.passed,_source.data.sca.failed,_source.data.sca.type,_source.data.sca.policy,_source.data.win.eventdata.hResult,_source.data.win.data_0x8000003F.query,_source.data.win.data_0x8000003F.namespace,_source.data.win.data_0x8000003F.error,_source.previous_output,_source.full_log,_source.previous_log,_source.data.win.eventdata.targetFilename,_source.data.win.eventdata.creationUtcTime,_source.rule.frequency,_source.data.win.eventdata.param3,_source.data.win.eventdata.param4,_source.data.win.eventdata.param1,_source.data.win.eventdata.param2,_source.rule.info,_source.data.win.eventdata.iD,_source.data.win.eventdata.previousTime,_source.data.win.eventdata.newTime,_source.data.win.initChannelLoggingFailure.errorCode,_source.data.win.initChannelLoggingFailure.channelPath,_source.data.file,_source.data.title,_source.data.win.eventdata.grantedAccess,_source.data.win.eventdata.targetProcessId,_source.data.win.eventdata.sourceUser,_source.data.win.eventdata.targetImage,_source.data.win.eventdata.sourceProcessGUID,_source.data.win.eventdata.callTrace,_source.data.win.eventdata.sourceThreadId,_source.data.win.eventdata.targetProcessGUID,_source.data.win.eventdata.sourceProcessId,_source.data.win.eventdata.sourceImage,_source.data.win.eventdata.targetUser,_source.data.win.eventdata.addressLength,_source.data.win.eventdata.address,_source.data.win.eventdata.queryName,_source.data.win.eventdata.param5,_source.data.extra_data,_source.decoder.parent,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.data.dstuser,_source.data.win.eventdata.previousCreationUtcTime,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.previous_result,_source.data.sca.check.compliance.cis_csc,_source.data.sca.check.compliance.cis,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.command,_source.rule.cis_csc,_source.rule.cis,_source.data.win.eventdata.updateRevisionNumber,_source.data.win.eventdata.updateGuid,_source.data.win.eventdata.serviceGuid,_source.data.win.eventdata.errorCode,_source.data.win.eventdata.updateTitle,_source.data.win.eventdata.serviceType,_source.data.win.eventdata.imagePath,_source.data.win.eventdata.startType,_source.data.win.eventdata.serviceName
wazuh-alerts-4.x-2024.12.22,9kqa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam,SessionEnv,D9060000,6003,Wlclntfy,0x80000000000000,{DBE9B383-7CF3-4331-91CC-A3CB16A3B538},4,Application,0,"""The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.""",0,2024-12-22T09:02:50.0425923Z,6995,0,DESKTOP-QGB4EQH,0,0,INFORMATION,Microsoft-Windows-Winlogon,2,FALSE,7,SessionEnv was unavailable to handle a critical notification event.,"[""windows"",""windows_application""]",60776,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:49.586",EventChannel,1734858169,"Dec 22, 2024 @ 09:02:49.586", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,90qa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,4624, ,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-QGB4EQH$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		2
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-2469675487-2142651230-3143768571-1001
	Account Name:		mari
	Account Domain:		DESKTOP-QGB4EQH
	Logon ID:		0x2B38A6
	Linked Logon ID:		0x2B38EA
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x190
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	DESKTOP-QGB4EQH
	Source Network Address:	127.0.0.1
	Source Port:		0

Detailed Authentication Information:
	Logon Process:		User32 
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.""",2,2024-12-22T09:02:50.0002149Z,21187,732,DESKTOP-QGB4EQH,12544,684,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,3,FALSE,3,Windows workstation logon success.,"[""windows"",""windows_security"",""authentication_success""]",60118,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:50.542",EventChannel,1734858170,"Dec 22, 2024 @ 09:02:50.542",0x3e7,WORKGROUP,0x2b38ea,%%1833,127.0.0.1,Negotiate,DESKTOP-QGB4EQH,0x2b38a6,User32,{00000000-0000-0000-0000-000000000000},mari,0,%%1842,S-1-5-18,0x190,C:\\Windows\\System32\\svchost.exe,0,DESKTOP-QGB4EQH,S-1-5-21-2469675487-2142651230-3143768571-1001,%%1843,2,DESKTOP-QGB4EQH$,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]","[""AC.7"",""AU.14""]","[""IV_32.2""]","[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]","[""7.1"",""7.2""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,'-Eqa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,4624, ,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DESKTOP-QGB4EQH$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		2
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		No

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-2469675487-2142651230-3143768571-1001
	Account Name:		mari
	Account Domain:		DESKTOP-QGB4EQH
	Logon ID:		0x2B38EA
	Linked Logon ID:		0x2B38A6
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x190
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	DESKTOP-QGB4EQH
	Source Network Address:	127.0.0.1
	Source Port:		0

Detailed Authentication Information:
	Logon Process:		User32 
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.""",2,2024-12-22T09:02:50.0002914Z,21188,732,DESKTOP-QGB4EQH,12544,684,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,4,FALSE,3,Windows workstation logon success.,"[""windows"",""windows_security"",""authentication_success""]",60118,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:50.559",EventChannel,1734858170,"Dec 22, 2024 @ 09:02:50.559",0x3e7,WORKGROUP,0x2b38a6,%%1833,127.0.0.1,Negotiate,DESKTOP-QGB4EQH,0x2b38ea,User32,{00000000-0000-0000-0000-000000000000},mari,0,%%1843,S-1-5-18,0x190,C:\\Windows\\System32\\svchost.exe,0,DESKTOP-QGB4EQH,S-1-5-21-2469675487-2142651230-3143768571-1001,%%1843,2,DESKTOP-QGB4EQH$,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]","[""AC.7"",""AU.14""]","[""IV_32.2""]","[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]","[""7.1"",""7.2""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,'-0qa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.324
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\BcastDVRUserService_2be4d2\ImagePath
Details: C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3315896Z,221349,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,5,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\BcastDVRUserService_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\svchost.exe -k BcastDVRUserService,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:51.732",EventChannel,1734858171,"Dec 22, 2024 @ 09:02:51.732", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\BcastDVRUserService_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\svchost.exe -k BcastDVRUserService,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,_kqa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\CaptureService_2be4d2\ImagePath
Details: C:\WINDOWS\system32\svchost.exe -k LocalService -p
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3424569Z,221388,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,7,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CaptureService_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:52.908",EventChannel,1734858172,"Dec 22, 2024 @ 09:02:52.908", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\CaptureService_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,_0qa7ZMBNimV4ECv_4DV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\cbdhsvc_2be4d2\ImagePath
Details: C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3737584Z,221396,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,8,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\cbdhsvc_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\svchost.exe -k ClipboardSvcGroup -p,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:53.199",EventChannel,1734858173,"Dec 22, 2024 @ 09:02:53.199", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\cbdhsvc_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\svchost.exe -k ClipboardSvcGroup -p,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,Akqa7ZMBNimV4ECv_4HV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\CredentialEnrollmentManagerUserSvc_2be4d2\ImagePath
Details: C:\WINDOWS\system32\CredentialEnrollmentManager.exe
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3760559Z,221420,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,11,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\CredentialEnrollmentManager.exe,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:53.687",EventChannel,1734858174,"Dec 22, 2024 @ 09:02:53.687", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\CredentialEnrollmentManager.exe,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,A0qa7ZMBNimV4ECv_4HV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\CredentialEnrollmentManagerUserSvc_2be4d2\Description
Details: @%%SystemRoot%%\system32\CredentialEnrollmentManager.exe,-101
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3804029Z,221424,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,12,FALSE,3,"Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_2be4d2\\Description binary is: @%%SystemRoot%%\\system32\\CredentialEnrollmentManager.exe,-101","[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:53.749",EventChannel,1734858174,"Dec 22, 2024 @ 09:02:53.749", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_2be4d2\\Description,{15959494-d51b-6767-0b00-000000001100},02:51.3,"@%%SystemRoot%%\\system32\\CredentialEnrollmentManager.exe,-101",SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,BEqa7ZMBNimV4ECv_4HV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\DeviceAssociationBrokerSvc_2be4d2\ImagePath
Details: C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3806544Z,221428,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,13,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DeviceAssociationBrokerSvc_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\svchost.exe -k DevicesFlow -p,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:53.828",EventChannel,1734858174,"Dec 22, 2024 @ 09:02:53.828", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\DeviceAssociationBrokerSvc_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\svchost.exe -k DevicesFlow -p,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2024.12.22,BUqa7ZMBNimV4ECv_4HV,1,1,192.168.117.139,window-agent3,3,Maryam, , ,13, ,0x8000000000000000,{5770385f-c22a-43e0-bf4c-06f5698ffbd9},4,Microsoft-Windows-Sysmon/Operational,0,"""Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2024-12-22 09:02:51.339
ProcessGuid: {15959494-d51b-6767-0b00-000000001100}
ProcessId: 660
Image: C:\WINDOWS\system32\services.exe
TargetObject: HKLM\System\CurrentControlSet\Services\DevicePickerUserSvc_2be4d2\ImagePath
Details: C:\WINDOWS\system32\svchost.exe -k DevicesFlow
User: NT AUTHORITY\SYSTEM""",2,2024-12-22T09:02:51.3815878Z,221436,4236,DESKTOP-QGB4EQH,13,2876,INFORMATION,Microsoft-Windows-Sysmon,14,FALSE,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DevicePickerUserSvc_2be4d2\\ImagePath binary is: C:\\WINDOWS\\system32\\svchost.exe -k DevicesFlow,"[""sysmon"",""sysmon_eid13_detections"",""windows""]",92307,windows_eventchannel,log,"Dec 22, 2024 @ 09:02:53.958",EventChannel,1734858174,"Dec 22, 2024 @ 09:02:53.958", , , , , , , , , , , , , , ,660, , , , , , , , , , , , ,"[""Windows Service""]","[""T1543.003""]","[""Persistence"",""Privilege Escalation""]", ,C:\\WINDOWS\\system32\\services.exe,HKLM\\System\\CurrentControlSet\\Services\\DevicePickerUserSvc_2be4d2\\ImagePath,{15959494-d51b-6767-0b00-000000001100},02:51.3,C:\\WINDOWS\\system32\\svchost.exe -k DevicesFlow,SetValue,NT AUTHORITY\\SYSTEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
